ADJECTIVE,POS FREQ,NEG FREQ,TomDS
chrétien,1,0,
singulier,0,0,
géant,0,0,
dérisoire,1,0,
hostile,0,0,
aérien,0,0,
tremblant,0,0,
armé,0,0,
classique,0.6,0.4,
incertain,0,0,
considérable,0,0,
monstrueux,0.6,0.4,
inquiétant,1,0,
économique,0,0,
rempli,0.5,0.5,
peint,1,0,
actuel,0.67,0.33,
professionnel,0,1,
sexuel,0.1,0.9,
prudent,0,0,
marine,0,0,
malin,1,0,
éclatant,0,0,
pris,0.56,0.44,
courant,0,1,
mortel,1,0,
exceptionnel,0.88,0.12,
sanglant,1,0,
arrivé,0.4,0.6,
surprenant,1,0,
mûr,1,0,
solennel,1,0,
morne,0.5,0.5,
clos,0.17,0.83,
final,0.33,0.67,
désagréable,0,1,
vilain,0,0,
imaginaire,1,0,
apparent,0,0,
effrayant,0,0,
impérial,0,0,
ennemi,1,0,
suffisant,0.5,0.5,
successif,0,0,
insolite,0,0,
rauque,0,0,
amusant,1,0,
instant,0.33,0.67,
chéri,0,1,
oublié,0.42,0.58,
sain,1,0,
maladroit,0,1,
fini,0.64,0.36,
humble,0.2,0.8,
glorieux,1,0,
brûlé,1,0,
perpétuel,0,1,
pascal,0,0,
historique,1,0,
probable,0,0,
multiple,1,0,
incompréhensible,0,1,
éteint,0,0,
moche,0,0,
éclairé,0,0,
pesant,0.67,0.33,
mauve,0,0,
clandestin,0,0,
blessé,0,0,
maudit,0,1,
fabuleux,1,0,
atroce,0,1,
exquis,0,0,
savant,0.43,0.57,
dégueulasse,0,0,
habillé,0,0,
croisé,0,1,
sentimental,0.8,0.2,
littéraire,0.37,0.63,
habile,0,0,
commode,0,0,
usé,0,1,
complice,0,0,
urgent,0,0,
sournois,0,0,
ras,0.5,0.5,
matériel,1,0,
inférieur,0,1,
suspect,0,0,
gêné,1,0,
constant,1,0,
bruyant,0,0,
écarté,0,0,
vulgaire,0.38,0.62,
postal,0,0,
impatient,0,1,
foutu,0,0,
rassurant,0,0,
pratique,0,1,
poli,0,0,
menaçant,0,0,
soucieux,1,0,
mélancolique,0,0,
favorable,0,1,
poussiéreux,0,1,
subit,1,0,
inévitable,0,0,
feu,1,0,
brisé,1,0,
aîné,1,0,
mondial,0.33,0.67,
idéal,0.92,0.08,
funèbre,0,0,
désespéré,0.67,0.33,
provisoire,0,0,
ironique,1,0,
sur,0.57,0.43,
légitime,0,0,
féroce,1,0,
convenable,0,1,
avide,1,0,
terne,0,0,
flou,0.5,0.5,
trouble,0.67,0.33,
maître,0.56,0.44,
lâche,1,0,
dit,0.59,0.41,
décisif,0,0,
combattant,0,0,
douteux,1,0,
ouvrier,1,0,
médiocre,0.5,0.5,
européen,0,0,
cru,0.64,0.36,
agressif,0,1,
gracieux,0,0,
quatrième,0.5,0.5,
supplémentaire,0,1,
collectif,1,0,
vitré,0,0,
occidental,0.2,0.8,
sympathique,0.2,0.8,
satisfait,0,1,
excessif,0,1,
antique,1,0,
monotone,0,1,
injuste,0,0,
café,1,0,
vertical,0,0,
identique,0,0,
cuit,0,1,
rêveur,1,0,
irrésistible,1,0,
interdit,1,0,
imperceptible,0,0,
efficace,1,0,
caché,0.33,0.67,
traditionnel,0,0,
intellectuel,0.4,0.6,
inouï,1,0,
gluant,0,0,
farouche,1,0,
couché,1,0,
confortable,0,0,
universel,0.5,0.5,
moite,0,0,
joint,0,0,
patient,0,0,
fade,0.5,0.5,
couvert,0.33,0.67,
liquide,0,0,
tordu,1,0,
permanent,0.5,0.5,
passionné,0.67,0.33,
isolé,1,0,
disparu,0.89,0.11,
anonyme,0,0,
stupéfait,0,0,
rendu,1,0,
polonais,0,0,
blême,0,0,
japonais,0.67,0.33,
furtif,1,0,
conscient,0,0,
allumé,0,0,
affectueux,1,0,
tombé,0.25,0.75,
spirituel,0,1,
municipal,0,0,
inerte,0,0,
contraire,0.77,0.23,
opposé,0,0,
strict,0,0,
oriental,0,0,
odieux,1,0,
chic,0,1,
assuré,0,0,
animal,1,0,
scolaire,0.33,0.67,
émouvant,1,0,
élémentaire,0,0,
relatif,0,1,
volontaire,1,0,
favori,0,1,
épuisé,0,0,
paternel,0,0,
natal,1,0,
insignifiant,0,0,
glacial,0,0,
uni,0.5,0.5,
distrait,0.33,0.67,
chouette,0.67,0.33,
multicolore,0,0,
marron,0,0,
donné,0.39,0.61,
actif,1,0,
mignon,0,1,
ravissant,0,0,
imbécile,0,0,
forcé,0.12,0.88,
capital,0,1,
posé,0.67,0.33,
comique,1,0,
infernal,0.67,0.33,
déchiré,1,0,
flottant,0,0,
